Country,Region,Population,Area,Pop. Density,GDP,Literacy,Agriculture,Industry,Service
Cuba ,LATIN AMER. & CARIB    ,11382820,110860,102.7,2900,97,0.055,0.261,0.684
Cyprus ,NEAR EAST                          ,784301,9250,84.8,19200,97.6,0.037,0.198,0.765
Czech Republic ,EASTERN EUROPE                     ,10235455,78866,129.8,15700,99.9,0.034,0.393,0.573
Denmark ,WESTERN EUROPE                     ,5450661,43094,126.5,31100,100,0.018,0.246,0.735
Djibouti ,SUB-SAHARAN AFRICA                 ,486530,23000,21.2,1300,67.9,0.179,0.225,0.596
Dominica ,LATIN AMER. & CARIB    ,68910,754,91.4,5400,94,0.177,0.328,0.495
Dominican Republic ,LATIN AMER. & CARIB    ,9183984,48730,188.5,6000,84.7,0.112,0.306,0.582
East Timor ,ASIA (EX. NEAR EAST)         ,1062777,15007,70.8,500,58.6,0.085,0.231,0.684
Ecuador ,LATIN AMER. & CARIB    ,13547510,283560,47.8,3300,92.5,0.07,0.312,0.618
Egypt ,NORTHERN AFRICA                    ,78887007,1001450,78.8,4000,57.7,0.149,0.357,0.493
El Salvador ,LATIN AMER. & CARIB    ,6822378,21040,324.3,4800,80.2,0.099,0.302,0.599
Equatorial Guinea ,SUB-SAHARAN AFRICA                 ,540109,28051,19.3,2700,85.7,0.03,0.906,0.062
Eritrea ,SUB-SAHARAN AFRICA                 ,4786994,121320,39.5,700,58.6,0.102,0.254,0.643
Estonia ,BALTICS                            ,1324333,45226,29.3,12300,99.8,0.04,0.294,0.666
Ethiopia ,SUB-SAHARAN AFRICA                 ,74777981,1127127,66.3,700,42.7,0.475,0.099,0.426
Fiji ,OCEANIA                            ,905949,18270,49.6,5800,93.7,0.089,0.135,0.776
Finland ,WESTERN EUROPE                     ,5231372,338145,15.5,27400,100,0.028,0.295,0.676
France ,WESTERN EUROPE                     ,60876136,547030,111.3,27600,99,0.022,0.214,0.764
French Guiana ,LATIN AMER. & CARIB    ,199509,91000,2.2,8300,83,0.066,0.156,0.778
French Polynesia ,OCEANIA                            ,274578,4167,65.9,17500,98,0.031,0.19,0.769
Gabon ,SUB-SAHARAN AFRICA                 ,1424906,267667,5.3,5500,63.2,0.061,0.592,0.348
"Gambia, The ",SUB-SAHARAN AFRICA                 ,1641564,11300,145.3,1700,40.1,0.308,0.142,0.549
Georgia ,C.W. OF IND. STATES ,4661473,69700,66.9,2500,99,0.172,0.275,0.553
Germany ,WESTERN EUROPE                     ,82422299,357021,230.9,27600,99,0.009,0.296,0.695
Ghana ,SUB-SAHARAN AFRICA                 ,22409572,239460,93.6,2200,74.8,0.366,0.246,0.387
Greece ,WESTERN EUROPE                     ,10688058,131940,81,20000,97.5,0.054,0.213,0.733
Grenada ,LATIN AMER. & CARIB    ,89703,344,260.8,5000,98,0.054,0.18,0.766
Guadeloupe ,LATIN AMER. & CARIB    ,452776,1780,254.4,8000,90,0.15,0.17,0.68
Guatemala ,LATIN AMER. & CARIB    ,12293545,108890,112.9,4100,70.6,0.227,0.188,0.585
Guinea ,SUB-SAHARAN AFRICA                 ,9690222,245857,39.4,2100,35.9,0.237,0.362,0.401
Guinea-Bissau ,SUB-SAHARAN AFRICA                 ,1442029,36120,39.9,800,42.4,0.62,0.12,0.26
Guyana ,LATIN AMER. & CARIB    ,767245,214970,3.6,4000,98.8,0.37,0.203,0.427
Haiti ,LATIN AMER. & CARIB    ,8308504,27750,299.4,1600,52.9,0.28,0.2,0.52
Honduras ,LATIN AMER. & CARIB    ,7326496,112090,65.4,2600,76.2,0.139,0.312,0.549
Hong Kong ,ASIA (EX. NEAR EAST)         ,6940432,1092,6355.7,28800,93.5,0.001,0.092,0.906
Hungary ,EASTERN EUROPE                     ,9981334,93030,107.3,13900,99.4,0.037,0.312,0.651
Iceland ,WESTERN EUROPE                     ,299388,103000,2.9,30900,99.9,0.086,0.15,0.765
India ,ASIA (EX. NEAR EAST)         ,1095351995,3287590,333.2,2900,59.5,0.186,0.276,0.538
Indonesia ,ASIA (EX. NEAR EAST)         ,245452739,1919440,127.9,3200,87.9,0.134,0.458,0.408
Iran ,ASIA (EX. NEAR EAST)         ,68688433,1648000,41.7,7000,79.4,0.116,0.424,0.46
Iraq ,NEAR EAST                          ,26783383,437072,61.3,1500,40.4,0.073,0.666,0.261
Ireland ,WESTERN EUROPE                     ,4062235,70280,57.8,29600,98,0.05,0.46,0.49
Israel ,NEAR EAST                          ,6352117,20770,305.8,19800,95.4,0.026,0.317,0.657
Italy ,WESTERN EUROPE                     ,58133509,301230,193,26700,98.6,0.021,0.291,0.688
Jamaica ,LATIN AMER. & CARIB    ,2758124,10991,250.9,3900,87.9,0.049,0.337,0.615
Japan ,ASIA (EX. NEAR EAST)         ,127463611,377835,337.4,28200,99,0.017,0.258,0.725
Jordan ,NEAR EAST                          ,5906760,92300,64,4300,91.3,0.033,0.287,0.68
